Day,"Ad name","Amount spent (USD)",Impressions,"Link clicks",Purchases,"Purchases conversion value","Purchase ROAS (return on ad spend)","CPC (cost per link click)","CTR (link click-through rate)","CPM (cost per 1,000 impressions)","Link (ad settings)","Reporting starts","Reporting ends"
2026-03-06,"09.12.25 | Video - 3 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 2 | LP - Multitool PDP",13.05,532,14,,,,0.93214286,2.63157895,24.53007519,https://www.thelogox.com/pages/multitool,2026-03-06,2026-03-06
2026-03-06,"Video | Site B | Austin  - 816341450512552",0,5,,,,,,,0,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-06,2026-03-06
2026-03-06,"06.01.26 | B6.V2 | Forester Package | Text Variation - 1 | LP : Forester Package",157.38,16955,226,1,289,1.83631974,0.69637168,1.33294014,9.28221763,https://www.thelogox.com/products/forester-package,2026-03-06,2026-03-06
2026-03-06,"06.01.26 | B6.V1 | Forester Package | Text Variation - 1 | LP : Forester Package",17.95,1178,12,2,770,42.89693593,1.49583333,1.01867572,15.237691,https://www.thelogox.com/products/forester-package,2026-03-06,2026-03-06
2026-03-06,"06.01.26 | B4.V4 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 | LP : PDP",48.23,2801,17,1,403.9,8.37445573,2.83705882,0.6069261,17.21885041,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
2026-03-06,"09.12.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP : Multitool PDP",190.69,11805,117,2,634.5,3.32739,1.62982906,0.99110546,16.15332486,https://www.thelogox.com/pages/multitool,2026-03-06,2026-03-06
2026-03-06,"Vid FB1 937590858387610",18.01,1301,13,,,,1.38538462,0.99923136,13.84319754,https://www.thelogox.com/pages/multitool,2026-03-06,2026-03-06
2026-03-06,"17.11.25 | Video - 3 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 2 | LP - PDP",22.02,1401,34,,,,0.64764706,2.42683797,15.71734475,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
2026-03-06,"17.11.25 | Video -2 | LogOX 3-in-1 Forestry MultiTool | Text Variation - 1 LP - PDP",234.72,14089,222,4,1081.95,4.60953476,1.0572973,1.57569735,16.65980552,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
2026-03-06,"Video | Site B | Austin  - 816341450512552",207.93,20509,216,3,934.1,4.49237724,0.96263889,1.05319616,10.13847579,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-06,2026-03-06
2026-03-06,"Video | Site B | Austin  - 711679707645394",40.96,4790,48,,,,0.85333333,1.00208768,8.55114823,https://www.thelogox.com/pages/multitool?utm_source=ABM,2026-03-06,2026-03-06
2026-03-06,"Vid YT4 937590921720937",20.67,1184,12,,,,1.7225,1.01351351,17.45777027,https://www.thelogox.com/pages/multitool,2026-03-06,2026-03-06
2026-03-06,"3-in-1 Forestry MultiTool Static",18.86,1804,14,,,,1.34714286,0.77605322,10.45454545,https://www.thelogox.com/pages/multitool,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Static - 9 | The Fireside Bundle | Text Variation - 1 | LP : PDP",38.16,3836,19,,,,2.00842105,0.49530761,9.94786236,https://www.thelogox.com/products/fireside-bundle,2026-03-06,2026-03-06
2026-03-06,"17.11.25 | Video - 6 | TimberOX Summit 30-Ton | Text Variation - 3 | LP - PDP",0.32,21,1,,,,0.32,4.76190476,15.23809524,https://www.thelogox.com/products/timberox,2026-03-06,2026-03-06
2026-03-06,"03.03.26 | B6.V3 | LogOX Hauler | Text Variation - 1 | LP : LogOX Hauler",9.9,2395,11,,,,0.9,0.45929019,4.13361169,https://www.thelogox.com/products/logox-carrying-tool,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Static - 8 | CarryOX Gear Bag | Text Variation - 1 | LP : PDP",9,616,2,,,,4.5,0.32467532,14.61038961,https://www.thelogox.com/products/carryox-gear-bag,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Static - 6 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.42,40,1,,,,0.42,2.5,10.5,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Static - 10 | CarryOX Gear Bag | Text Variation - 1 | LP : PDP",12.14,780,14,,,,0.86714286,1.79487179,15.56410256,https://www.thelogox.com/products/carryox-gear-bag,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Video - 4 | LogOX_Dan-D-Lift_1to1_revised | Text Variation - 1 | LP : PDP",4.4,985,7,,,,0.62857143,0.7106599,4.46700508,https://www.thelogox.com/products/timberox-ddl,2026-03-06,2026-03-06
2026-03-06,"25.02.26 | Video - 1 | LogOX_Dan-D-Lift_video_revised | Text Variation - 1 | LP : PDP",18.55,3625,28,,,,0.6625,0.77241379,5.11724138,https://www.thelogox.com/products/timberox-ddl,2026-03-06,2026-03-06
2026-03-06,"25.02.26 | Video - 5 | LogOX_Hauler_podcast_revised | Text Variation - 1 | LP : PDP",5.71,1389,6,,,,0.95166667,0.43196544,4.11087113,https://www.thelogox.com/products/logox-carrying-tool,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Static - 2 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.25,29,,,,,,,8.62068966,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Video - 2 | LogOX_Hauler_video_revised | Text Variation - 1 | LP : PDP",2.57,640,1,,,,2.57,0.15625,4.015625,https://www.thelogox.com/products/logox-carrying-tool,2026-03-06,2026-03-06
2026-03-06,"25.02.26 | Video - 6 | LogOX_3-in-1tool_podcast_revised | Text Variation - 1 | LP : PDP",16.64,4021,18,,,,0.92444444,0.44764984,4.13827406,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Video - 3 | LogOX_3-in-1tool_video_revised | Text Variation - 1 | LP : PDP",7.47,1970,7,,,,1.06714286,0.35532995,3.79187817,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Static - 4 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.04,4,,,,,,,10,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
2026-03-06,"25.02.26 |  Static - 5 | LogOX 3-in-1 Forestry MultiTool| Text Variation - 1 | LP : PDP",0.03,7,,2,908.91,30297,,,4.28571429,https://www.thelogox.com/products/logox-3-in-1,2026-03-06,2026-03-06
