Start Date,End Date,Portfolio name,Currency,Campaign Name,Retailer,Country,Bidding strategy,Placement,Impressions,Clicks,Cost per click (CPC),Spend,7 Day Total Sales,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Orders (#),7 Day Total Units (#)
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 7 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,148,11,1,16,0,,0.00,0,0
"Feb 03, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 6 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,10,0,,0,0,,,0,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 6 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,38,0,,0,0,,,0,0
"Feb 01, 2026","Feb 12, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 6 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,27,3,1,4,0,,0.00,0,0
"Feb 01, 2026","Mar 03, 2026",Jars,USD,NM - SP - STR - PT 5 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,48,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - PT 5 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,43,0,,0,0,,,0,0
"Feb 01, 2026","Mar 17, 2026",Jars,USD,NM - SP - STR - PT 5 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,403,19,5,92,48,192.4217%,0.52,2,2
"Feb 01, 2026","Mar 18, 2026",Stick Packs,USD,NM - SP - PT 1 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Product pages on Amazon,53,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,USD,NM - SP - PT 1 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Rest of search on Amazon,16,0,,0,0,,,0,0
"Feb 17, 2026","Mar 17, 2026",Stick Packs,USD,NM - SP - PT 1 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Top of Search on Amazon,3,1,2,2,0,,0.00,0,0
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 3 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,16076,3,1,3,15,23.2776%,4.30,1,1
"Feb 02, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 3 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,111,1,1,1,0,,0.00,0,0
"Feb 02, 2026","Feb 28, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 3 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,29,1,2,2,0,,0.00,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Phrase - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,2833,10,1,9,0,,0.00,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Phrase - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,101,0,,0,0,,,0,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - GPT - 12 Pack - Phrase - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,8,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Stick Packs,USD,NM - SP - PT 2 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Product pages on Amazon,52,0,,0,0,,,0,0
"Feb 01, 2026","Mar 17, 2026",Stick Packs,USD,NM - SP - PT 2 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Rest of search on Amazon,19,0,,0,0,,,0,0
"Feb 03, 2026","Mar 17, 2026",Stick Packs,USD,NM - SP - PT 2 - Stick Packs - Multi - Jan 2026,Amazon,United States,Fixed bids,Top of Search on Amazon,7,0,,0,0,,,0,0
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 6 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,71,1,1,1,0,,0.00,0,0
"Feb 02, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 6 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,29,0,,0,0,,,0,0
"Feb 03, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - STR - 12 Pack - PT 6 - B0DY6K7RQH - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,46,4,2,7,30,22.2074%,4.50,2,2
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 2 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,194,1,1,1,0,,0.00,0,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 2 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,318,7,1,6,0,,0.00,0,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - STR - 4 Pack - PT 2 - B0DJ3J2CKX - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,19,2,1,2,0,,0.00,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - Exact 1 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,1612,1,4,4,0,,0.00,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - Exact 1 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,1278,4,3,12,0,,0.00,0,0
"Feb 01, 2026","Mar 16, 2026",Jars,USD,NM - SP - STR - Exact 1 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,43,1,4,4,0,,0.00,0,0
"Feb 01, 2026","Mar 17, 2026",Jars,USD,NM - SP - STR - Exact 3 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,443,1,4,4,0,,0.00,0,0
"Feb 01, 2026","Mar 17, 2026",Jars,USD,NM - SP - STR - Exact 3 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,158,1,3,3,0,,0.00,0,0
"Feb 01, 2026","Mar 17, 2026",Jars,USD,NM - SP - STR - Exact 3 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,25,0,,0,0,,,0,0
"Feb 01, 2026","Mar 16, 2026",Jars,USD,NM - SP - STR - Exact 2 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,836,0,,0,0,,,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - Exact 2 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,50,1,4,4,0,,0.00,0,0
"Feb 01, 2026","Mar 18, 2026",Jars,USD,NM - SP - STR - Exact 2 - Jars - Jan 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,78,1,4,4,0,,0.00,0,0
"Feb 12, 2026","Mar 17, 2026",Bottel,USD,NM - SP - Exact - Branded - Bottle - B0GKB943TS - Feb 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,9,0,,0,0,,,0,0
"Feb 10, 2026","Mar 18, 2026",Bottel,USD,NM - SP - Exact - Branded - Bottle - B0GKB943TS - Feb 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,310,2,1,2,35,6.5808%,15.20,1,1
"Feb 10, 2026","Mar 18, 2026",Bottel,USD,NM - SP - Exact - Branded - Bottle - B0GKB943TS - Feb 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,53,1,0,0,0,,0.00,0,0
"Feb 16, 2026","Mar 06, 2026",Bottel,USD,NM - SP - Phrase - Branded - Bottle - B0GKB943TS - Feb 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,5,0,,0,0,,,0,0
"Feb 10, 2026","Mar 16, 2026",Bottel,USD,NM - SP - Phrase - Branded - Bottle - B0GKB943TS - Feb 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,217,1,3,3,0,,0.00,0,0
"Feb 11, 2026","Mar 16, 2026",Bottel,USD,NM - SP - Phrase - Branded - Bottle - B0GKB943TS - Feb 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,30,1,0,0,40,1.1278%,88.67,1,2
"Mar 02, 2026","Mar 19, 2026",No Portfolio,USD,MN - SP - Phrase - Branded - Test w/o Collagen - March 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,1300,12,2,23,80,28.3156%,3.53,3,3
"Mar 02, 2026","Mar 19, 2026",No Portfolio,USD,MN - SP - Phrase - Branded - Test w/o Collagen - March 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,774,7,1,9,20,44.9123%,2.23,1,1
"Mar 02, 2026","Mar 19, 2026",No Portfolio,USD,MN - SP - Phrase - Branded - Test w/o Collagen - March 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,260,30,1,23,859,2.7063%,36.95,14,25
"Mar 02, 2026","Mar 18, 2026",No Portfolio,USD,NM - SP - Phrase - All Products Test w/o Collagen - March 2026,Amazon,United States,Dynamic bids – down only,Product pages on Amazon,47712,41,3,137,0,,0.00,0,0
"Mar 07, 2026","Mar 07, 2026",No Portfolio,USD,NM - SP - Phrase - All Products Test w/o Collagen - March 2026,Amazon,United States,Dynamic bids – down only,Off Amazon,1,0,,0,0,,,0,0
"Mar 02, 2026","Mar 18, 2026",No Portfolio,USD,NM - SP - Phrase - All Products Test w/o Collagen - March 2026,Amazon,United States,Dynamic bids – down only,Rest of search on Amazon,16770,85,3,272,145,188.0967%,0.53,5,5
"Mar 02, 2026","Mar 17, 2026",No Portfolio,USD,NM - SP - Phrase - All Products Test w/o Collagen - March 2026,Amazon,United States,Dynamic bids – down only,Top of Search on Amazon,333,15,4,54,0,,0.00,0,0
"Mar 02, 2026","Mar 19, 2026",No Portfolio,USD,NM - SP - Auto - All Products Test w/o Collagen - March 2026,Amazon,United States,Fixed bids,Product pages on Amazon,110556,137,2,264,774,34.1281%,2.93,19,23
