Start Date,End Date,Portfolio name,Currency,Campaign Name,Country,Ad Group Name,Retailer,Targeting,Match Type,Impressions,Top-of-search impression share,Clicks,Click-through rate (CTR),Cost per click (CPC),Spend,Total Advertising Cost of Sales (ACOS) ,Total Return on Advertising Spend (ROAS),7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#),7 Day Conversion Rate,7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales
"Feb 28, 2026","Mar 17, 2026",Jars,USD,NM - SP - Phrase 4 - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 4 - Sep 2025,Amazon,harlo electrolytes collagen,PHRASE,11,0.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,electrolytes collagen creatine,PHRASE,489,13.5700%,7,1.4315%,2,14,96.3880%,1.04,15,1,1,14.2857%,1,0,15,0
"Feb 08, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,harlo electrolytes collagen,PHRASE,56,0.0000%,1,1.7857%,2,2,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 01, 2026","Mar 04, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,creatine for women,PHRASE,92,0.0400%,2,2.1739%,2,3,31.9598%,3.13,10,1,1,50.0000%,1,0,10,0
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,creatine and collagen,PHRASE,2756,2.5000%,33,1.1974%,2,70,30.3032%,3.30,233,9,9,27.2727%,5,4,85,148
"Feb 01, 2026","Mar 05, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,collagen for women,PHRASE,1002,0.0000%,8,0.7984%,2,13,35.9026%,2.79,35,2,2,25.0000%,2,0,35,0
"Feb 01, 2026","Feb 08, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,electrolytes creatine collagen,PHRASE,718,36.3600%,3,0.4178%,1,4,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 02, 2026","Feb 02, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,harlo electrolyte drink,PHRASE,0,,0,,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 01, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,lmnt electrolyte powder packets,PHRASE,216,0.0000%,1,0.4630%,1,1,,0.00,0,0,0,0.0000%,0,0,0,0
"Feb 05, 2026","Feb 27, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,creatine and electrolytes for women,PHRASE,6,6.2500%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
"Feb 01, 2026","Mar 13, 2026",Sachets,USD,NM  - SP - 12 Pack - Phrase - MDF - B0DY6K7RQH - Sep 2025,United States,NM  - SP - 12 Pack - Phrase - B0DY6K7RQH - Sep 2025,Amazon,collagen creatine electrolytes,PHRASE,161,25.0000%,6,3.7267%,3,19,26.8956%,3.72,70,2,2,33.3333%,0,2,0,70
"Feb 03, 2026","Feb 05, 2026",Jars,USD,NM - SP - Phrase 4 - Jars - Sep 2025,United States,NM - SP - Jars - Phrase 4 - Sep 2025,Amazon,creatine and electrolytes for women,PHRASE,1,50.0000%,0,0.0000%,0,0,,,0,0,0,,0,0,0,0
